contract_decimals,contract_name,contract_ticker_symbol,contract_address,supports_erc,logo_url,quote_rate,rank
18,"Wrapped Ether","WETH","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2",,"https://logos.covalenthq.com/tokens/0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2.png","2677.9753",2
6,"Tether USD","USDT","0xdac17f958d2ee523a2206206994597c13d831ec7",,"https://logos.covalenthq.com/tokens/0xdac17f958d2ee523a2206206994597c13d831ec7.png","1.0042506",3
18,"BNB","BNB","0xb8c77482e45f1f44de1745f52c74426c631bdd52",,"https://logos.covalenthq.com/tokens/0xb8c77482e45f1f44de1745f52c74426c631bdd52.png","365.75458",4
6,"USD Coin","USDC","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48",,"https://logos.covalenthq.com/tokens/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png","1.0002937",9
18,"Uniswap","UNI","0x1f9840a85d5af5bf1d1762f925bdaddc4201f984",,"https://logos.covalenthq.com/tokens/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984.png","26.001701",12
18,"ChainLink Token","LINK","0x514910771af9ca656af840dff83e8264ecf986ca",,"https://logos.covalenthq.com/tokens/0x514910771af9ca656af840dff83e8264ecf986ca.png","29.35435",13
18,"Matic Token","MATIC","0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0",,"https://logos.covalenthq.com/tokens/0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0.png","1.96735",14
18,"Binance USD","BUSD","0x4fabb145d64652a948d72533023f6e7a623c7c53",,"https://logos.covalenthq.com/tokens/0x4fabb145d64652a948d72533023f6e7a623c7c53.png","1.0010852",19
8,"Wrapped BTC","WBTC","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599",,"https://logos.covalenthq.com/tokens/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599.png","39619.625",20
18,"Aave Token","AAVE","0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9",,"https://logos.covalenthq.com/tokens/0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9.png","448.38998",25
18,"OKB","OKB","0x75231f58b43240c9718dd58b4967c5114342a86c",,"https://logos.covalenthq.com/tokens/0x75231f58b43240c9718dd58b4967c5114342a86c.png","18.793493",26
18,"SHIBA INU","SHIB","0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce",,"https://logos.covalenthq.com/tokens/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce.png","0.000011870575",27
8,"Compound Ether","cETH","0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5",,"https://logos.covalenthq.com/tokens/0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5.png","53.618988",28
18,"Dai Stablecoin","DAI","0x6b175474e89094c44da98b954eedeac495271d0f",,"https://logos.covalenthq.com/tokens/0x6b175474e89094c44da98b954eedeac495271d0f.png","0.999898",32
18,"FirstBlood Token","1ST","0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7",,"https://logos.covalenthq.com/tokens/0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7.png","20.412245",32
18,"HuobiToken","HT","0x6f259637dcd74c767781e37bc6133cd6a68aa161",,"https://logos.covalenthq.com/tokens/0x6f259637dcd74c767781e37bc6133cd6a68aa161.png","22.135456",33
8,"Compound USD Coin","cUSDC","0x39aa39c021dfbae8fac545936693ac917d5e7563",,"https://logos.covalenthq.com/tokens/0x39aa39c021dfbae8fac545936693ac917d5e7563.png","0.022055529",34
18,"FTT","FTX Token","0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9",,"https://logos.covalenthq.com/tokens/0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9.png","39.348186",39
18,"Maker Token","MKR","0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2",,"https://logos.covalenthq.com/tokens/0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2.png","3709.079",41
18,"Avalanche","AVAX","0x9debca6ea3af87bf422cea9ac955618ceb56efb4",,"https://logos.covalenthq.com/tokens/0x9debca6ea3af87bf422cea9ac955618ceb56efb4.png","25.272451",44
8,"CRO","CRO","0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b",,"https://logos.covalenthq.com/tokens/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b.png","0.12701514",45
8,"Compound Dai","cDAI","0x5d3a536e4d6dbd6114cc1ead35777bab948e3643",,"https://logos.covalenthq.com/tokens/0x5d3a536e4d6dbd6114cc1ead35777bab948e3643.png","0.021493653",46
18,"Compound","COMP","0xc00e94cb662c3520282e6f5717214004a7f26888",,"https://logos.covalenthq.com/tokens/0xc00e94cb662c3520282e6f5717214004a7f26888.png","511.97473",52
18,"SushiToken","SUSHI","0x6b3595068778dd592e39a122f4f5a5cf09c90fe2",,"https://logos.covalenthq.com/tokens/0x6b3595068778dd592e39a122f4f5a5cf09c90fe2.png","15.325307",53
18,"Bitfinex LEO Token","LEO","0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3",,"https://logos.covalenthq.com/tokens/0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3.png","2.6827497",54
18,"Synthetix Network Token","SNX","0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f",,"https://logos.covalenthq.com/tokens/0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f.png","16.410278",55
4,"Celsius","CEL","0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d",,"https://logos.covalenthq.com/tokens/0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d.png","6.2000012",56
18,"yearn.finance","YFI","0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e",,"https://logos.covalenthq.com/tokens/0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e.png","51167.72",63
18,"Amp","AMP","0xff20817765cb7f73d4bde2e66e067e58d11095c2",,"https://logos.covalenthq.com/tokens/0xff20817765cb7f73d4bde2e66e067e58d11095c2.png","0.04669093",65
2,"Telcoin","TEL","0x467bccd9d29f223bce8043b84e8c8b282827790f",,"https://logos.covalenthq.com/tokens/0x467bccd9d29f223bce8043b84e8c8b282827790f.png","0.030016726",66
18,"chiliZ","CHZ","0x3506424f91fd33084466f402d5d97f05f8e3b4af",,"https://logos.covalenthq.com/tokens/0x3506424f91fd33084466f402d5d97f05f8e3b4af.png","0.29755574",67
18,"HoloToken","HOT","0x6c6ee5e31d828de241282b9606c8e98ea48526e2",,"https://logos.covalenthq.com/tokens/0x6c6ee5e31d828de241282b9606c8e98ea48526e2.png","0.008269834",70
18,"Paxos Standard","PAX","0x8e870d67f660d95d5be530380d0ec0bd388289e1",,"https://logos.covalenthq.com/tokens/0x8e870d67f660d95d5be530380d0ec0bd388289e1.png","1.0014808",71
18,"Huobi BTC","HBTC","0x0316eb71485b0ab14103307bf65a021042c6d380",,"https://logos.covalenthq.com/tokens/0x0316eb71485b0ab14103307bf65a021042c6d380.png","40060.695",72
18,"Nexo","NEXO","0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206",,"https://logos.covalenthq.com/tokens/0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206.png","2.2787547",73
18,"Enjin Coin","ENJ","0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c",,"https://logos.covalenthq.com/tokens/0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c.png","1.3548284",75
18,"Basic Attention Token","BAT","0x0d8775f648430679a709e98d2b0cb6250d2887ef",,"https://logos.covalenthq.com/tokens/0x0d8775f648430679a709e98d2b0cb6250d2887ef.png","0.82421356",76
18,"TrueUSD","TUSD","0x0000000000085d4780b73119b644ae5ecd22b376",,"https://logos.covalenthq.com/tokens/0x0000000000085d4780b73119b644ae5ecd22b376.png","0.9967326",78
18,"Decentraland MANA","MANA","0x0f5d2fb29fb7d3cfee444a200298f468908cc942",,"https://logos.covalenthq.com/tokens/0x0f5d2fb29fb7d3cfee444a200298f468908cc942.png","0.8768398",80
18,"Fantom Token","FTM","0x4e15361fd6b4bb609fa63c81a2be19d873717870",,"https://logos.covalenthq.com/tokens/0x4e15361fd6b4bb609fa63c81a2be19d873717870.png","0.44672927",81
18,"SushiBar","xSUSHI","0x8798249c2e607446efb7ad49ec89dd1865ff4272",,"https://logos.covalenthq.com/tokens/0x8798249c2e607446efb7ad49ec89dd1865ff4272.png","17.717228",84
18,"Chimpion","BNANA","0x07ef9e82721ac16809d24dafbe1792ce01654db4",,"https://logos.covalenthq.com/tokens/0x07ef9e82721ac16809d24dafbe1792ce01654db4.png","3.0649822",84
18,"Graph Token","GRT","0xc944e90c64b2c07662a292be6244bdf05cda44a7",,"https://logos.covalenthq.com/tokens/0xc944e90c64b2c07662a292be6244bdf05cda44a7.png","0.8693217",85
18,"UMA Voting Token v1","UMA","0x04fa0d235c4abf4bcf4787af4cf447de572ef828",,"https://logos.covalenthq.com/tokens/0x04fa0d235c4abf4bcf4787af4cf447de572ef828.png","17.19334",87
18,"Bancor Network Token","BNT","0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c",,"https://logos.covalenthq.com/tokens/0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c.png","5.1672606",88
18,"Fei USD","FEI","0x956f47f50a910163d8bf957cf5846d573e7f87ca",,"https://logos.covalenthq.com/tokens/0x956f47f50a910163d8bf957cf5846d573e7f87ca.png","0.9619122",90
8,"HUSD","HUSD","0xdf574c24545e5ffecb9a659c229253d4111d87e1",,"https://logos.covalenthq.com/tokens/0xdf574c24545e5ffecb9a659c229253d4111d87e1.png","0.99079734",92
18,"Liquid staked Ether 2.0","stETH","0xae7ab96520de3a18e5e111b5eaab095312d7fe84",,"https://logos.covalenthq.com/tokens/0xae7ab96520de3a18e5e111b5eaab095312d7fe84.png","2667.0537",93
18,"GateChainToken","GT","0xe66747a101bff2dba3697199dcce5b743b454759",,"https://logos.covalenthq.com/tokens/0xe66747a101bff2dba3697199dcce5b743b454759.png","5.5926237",94
